A1;A768;A769;A770;A771;A772;A773;A774;A775;A776;A777;A778;A779;A780;A781;A782;A783;A784;A785;A786;A787;A788;A789;A790;A791;A792;A793;A794;A795;A796;A797;A798;A799;A800;A801;A802;A803;A804;A805;A806;A807;A808;A809;A810;A811;A812;A813;A814;A815;A816;A817;A818;A819;A820;A821;A822;A823;A824;A825;A826;A827;A828;A829;A830;A831;A832;A833;A834;A835;A836;A837;A838;A839;A840;A841;A842;
3131208;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3131307;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;out/03;-;Sim;2003;Não paritário;Não;Sim;Não;Sim;6;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3131406;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3131505;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
3131604;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3131703;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;
3131802;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2003;Não paritário;Sim;Não;Não;Não;1;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3131901;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;
3132008;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;nov/10;-;Sim;2010;Paritário;Sim;Sim;Sim;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
3132107;Secretaria municipal em conjunto com outras políticas;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Sim;2006;Não paritário;Sim;Sim;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
3132206;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;
3132305;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3132404;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Sim;2010;Paritário;Sim;Sim;Sim;Sim;2;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;Não;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;
3132503;Não possui estrutura;-;-;-;-;-;-;Possui lei;jun/11;-;Sim;2011;Paritário;Sim;Não;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não informado;-;-;-;Não informado;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Não;Não;Sim;
3132602;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Sim;1997;Não paritário;Sim;Não;Não;Sim;5;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3132701;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;SECRETARIA MUNICIPAL DE AGRICULTURA;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3132800;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3132909;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133006;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;abr/10;-;Sim;2010;Paritário;Sim;Sim;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133105;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133204;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133303;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;jul/03;-;Sim;2003;Paritário;Sim;Não;Não;Sim;4;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Sim;Sim;Sim;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Não;-;-;-;
3133402;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133501;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
3133600;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Possui lei;abr/13;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133709;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133758;Setor subordinado a outra secretaria;Não;Não;Sim;Não;Não;Não;Possui lei;jul/11;-;Sim;2011;Paritário;Sim;Sim;Não;Não;0;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133808;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Sim;2003;Paritário;Não;Sim;Não;Não;12;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3133907;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
3134004;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;
3134103;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3134202;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;
3134301;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Possui lei;out/13;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3134400;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;
3134509;Secretaria municipal exclusiva;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3134608;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Sim;Sim;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;
3134707;Secretaria municipal em conjunto com outras políticas;Não;Não;Não;Sim;Não;Não;Possui lei;jun/06;-;Sim;2006;Paritário;Sim;Não;Não;Não;2;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3134806;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3134905;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Possui lei;abr/97;-;Sim;1997;Paritário;Sim;Não;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135001;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Sim;2009;Paritário;Sim;Não;Não;Não;12;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135050;Secretaria municipal em conjunto com outras políticas;Sim;Sim;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;
3135076;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135100;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;set/11;-;Sim;2011;Não paritário;Sim;Sim;Não;Sim;2;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;
3135209;Setor subordinado a outra secretaria;Não;Sim;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;
3135308;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
3135357;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
3135407;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135456;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;
3135506;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135605;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
3135704;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3135803;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Está em trâmite;-;jun/14;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;
3135902;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136009;Secretaria municipal em conjunto com outras políticas;Não;Não;Não;Sim;Não;Não;Possui lei;jul/05;-;Sim;2011;Paritário;Não;Sim;Não;Sim;4;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;SECRETARIA MUNICIPAL DE SAÚDE;Não;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;
3136108;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;mar/06;-;Sim;2006;Paritário;Sim;Não;Não;Sim;4;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136207;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Sim;2009;Paritário;Sim;Não;Não;Não;0;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136306;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Sim;2004;Paritário;Sim;Sim;Sim;Sim;11;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;SECRETARIA MUNICIPAL DE SAUDE;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Não;-;-;-;
3136405;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
3136504;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136520;Setor subordinado a outra secretaria;Não;Sim;Não;Não;Não;Não;Possui lei;mai/06;-;Sim;2006;Paritário;Não;Sim;Não;Sim;10;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
3136553;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136579;Não possui estrutura;-;-;-;-;-;-;Possui lei;dez/13;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;
3136603;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136652;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
3136702;Setor subordinado a outra secretaria;Sim;Sim;Não;Sim;Não;Sim;Não possui;-;-;Sim;2003;Não paritário;Sim;Sim;Não;Não;6;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;
3136801;Setor subordinado a outra secretaria;Sim;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;
